ID,PaperID,Data_Extractor,DOI,Publication_year,First_author,Title,Country,Elevation,Latitude,Longitude,Case_ID,Exp_or_Obs,Control_details,Treatment_details,Taxa_excluded,Time_frame,SR_or_FG,FG_Group,Peatland_type,Control_mean,Control_n,Control_var,Control_WTD_mean,Control_WTD_n,Control_WTD_var,Treatment_mean,Treatment_n,Treatment_var,Treatment_WTD_mean,Treatment_WTD_n,Treatment_WTD_var,WTD_Difference,Mean_unit,Biodiversity_Variance_unit,WTD_Variance_unit,Data_Source,Notes
1,6,North,10.1007/s10021-009-9283-z,2009,Meaghan Murphy,Effects of Water Table Drawdown on Root Production and Aboveground Biomass in a Boreal Bog,Finland,150,61.8,24.32,1,Obs,Half of a peatland was drained in 1961,Half of a peatland was drained in 1961,Moss,47,SR,NA,Bog,,19,,-20,70,10,,20,,-35,70,7,-15,count,,SE,WTD estimated from figures,WTD was likely much lower 20-30 years ago and has raised as ditches lost their efficienct. SR was measured but seemingly not reported?
2,6,North,10.1007/s10021-009-9283-z,2009,Meaghan Murphy,Effects of Water Table Drawdown on Root Production and Aboveground Biomass in a Boreal Bog,Finland,150,61.8,24.32,1,Obs,Half of a peatland was drained in 1961,Half of a peatland was drained in 1961,Moss,47,FG,Tree,Bog,3.81,19,5.42,-20,70,10,28.07,20,24.0200,-35,70,7,-15,"below ground biomass, g m-2 y-1",SE,SE,"Reported in text - note that the treatment number specified ""fine root production"". WTD estimated from figures",
3,6,North,10.1007/s10021-009-9283-z,2009,Meaghan Murphy,Effects of Water Table Drawdown on Root Production and Aboveground Biomass in a Boreal Bog,Finland,150,61.8,24.32,1,Obs,Half of a peatland was drained in 1961,Half of a peatland was drained in 1961,Moss,47,FG,Shrub,Bog,30.94,19,25.92,-20,70,10,38.96,20,52.3100,-35,70,7,-15,"below ground biomass, g m-2 y-1",SE,SE,Reported in text. WTD estimated from figures,
4,6,North,10.1007/s10021-009-9283-z,2009,Meaghan Murphy,Effects of Water Table Drawdown on Root Production and Aboveground Biomass in a Boreal Bog,Finland,150,61.8,24.32,1,Obs,Half of a peatland was drained in 1961,Half of a peatland was drained in 1961,Moss,47,FG,Herb,Bog,27.62,19,16.4,-20,70,10,10.58,20,15.6700,-35,70,7,-15,"below ground biomass, g m-2 y-1",SE,SE,Reported in text. WTD estimated from figures,
5,12,North,10.1111/gcb.16907,2023,Egle Köster,Water level drawdown makes boreal peatland vegetation more responsive to weather conditions,Finland,150,61.8,24.32,2,Exp,Control and WLD sites 20m apart established,,,20,SR,NA,Rich fen,23,8,0,-16.2,47,9.2,23,8,0.0000,-20.7,48,11,-4.5,count,SD,SD,"SR extracted from provided data, but might not be useful. WTD reported in table 2 (2021 numbers)",
6,12,North,10.1111/gcb.16907,2023,Egle Köster,Water level drawdown makes boreal peatland vegetation more responsive to weather conditions,Finland,150,61.8,24.32,2,Exp,Control and WLD sites 20m apart established,,,20,SR,NA,Poor fen,9,14,0,-15.2,53,7.5,9,15,0.0000,-25.5,53,10.2,-10.3,count,SD,SD,"SR extracted from provided data, but might not be useful. WTD reported in table 2 (2021 numbers)",
7,12,North,10.1111/gcb.16907,2023,Egle Köster,Water level drawdown makes boreal peatland vegetation more responsive to weather conditions,Finland,150,61.8,24.32,2,Exp,Control and WLD sites 20m apart established,,,20,SR,NA,Bog,10,12,0,-11.8,60,9.6,9,14,0.0000,-18.8,54,12.8,-7,count,SD,SD,"SR extracted from provided data, but might not be useful. WTD reported in table 2 (2021 numbers)",
8,12,North,10.1111/gcb.16907,2023,Egle Köster,Water level drawdown makes boreal peatland vegetation more responsive to weather conditions,Finland,150,61.8,24.32,3,Exp,Control and WLD sites 20m apart established,,,20,FG,Tree,Rich fen,8.44,8,16.4,-16.2,47,9.2,1.7,8,2.0400,-20.7,48,11,-4.5,Max biomass production (g),SD,SD,Extracted from provided CSV (2021 data) with R. WTD reported in table 2 (2021 numbers),
9,12,North,10.1111/gcb.16907,2023,Egle Köster,Water level drawdown makes boreal peatland vegetation more responsive to weather conditions,Finland,150,61.8,24.32,4,Exp,Control and WLD sites 20m apart established,,,20,FG,Tree,Poor fen,4.47,9,5.19,-15.2,53,7.5,11,9,13.0000,-25.5,53,10.2,-10.3,Max biomass production (g),SD,SD,Extracted from provided CSV (2021 data) with R. WTD reported in table 2 (2021 numbers),
10,12,North,10.1111/gcb.16907,2023,Egle Köster,Water level drawdown makes boreal peatland vegetation more responsive to weather conditions,Finland,150,61.8,24.32,5,Exp,Control and WLD sites 20m apart established,,,20,FG,Tree,Bog,0.194,10,0.395,-11.8,60,9.6,4.16,9,3.1700,-18.8,54,12.8,-7,Max biomass production (g),SD,SD,Extracted from provided CSV (2021 data) with R. WTD reported in table 2 (2021 numbers),
